i, j, E, error
5, 47, -9.98384, 1.14558e-09
5, 48, -9.98384, 1.14558e-09
5, 49, -9.98384, 1.14558e-09
5, 50, -9.98384, 1.14558e-09
5, 51, -9.98384, 1.14558e-09
5, 52, -9.98384, 1.14558e-09
5, 53, -9.98384, 1.14558e-09
5, 54, -9.98384, 1.14558e-09
5, 55, -9.98384, 1.14558e-09
5, 56, -9.98384, 1.14558e-09
5, 57, -9.98384, 1.14558e-09
5, 58, -9.98384, 1.14558e-09
5, 59, -9.98384, 1.14558e-09
5, 60, -9.98384, 1.14558e-09
5, 61, -9.98384, 1.14558e-09
5, 62, -9.98384, 1.14558e-09
5, 63, -9.98384, 1.14558e-09
6, 0, -10.6326, 1.16511e-09
6, 1, -10.6326, 1.16511e-09
6, 2, -10.6326, 1.16511e-09
6, 3, -10.6326, 1.16511e-09
6, 4, -10.6326, 1.16511e-09
6, 5, -10.6326, 1.16511e-09
6, 6, -10.6326, 1.16511e-09
6, 7, -10.6326, 1.16511e-09
6, 8, -10.6326, 1.16511e-09
6, 9, -10.6326, 1.16511e-09
6, 10, -10.6326, 1.16511e-09
6, 11, -10.6326, 1.16511e-09
6, 12, -10.6326, 1.16511e-09
6, 13, -10.6326, 1.16511e-09
6, 14, -10.6326, 1.16511e-09
6, 15, -10.6326, 1.16511e-09
6, 16, -10.6326, 1.16511e-09
6, 17, -10.6326, 1.16511e-09
6, 18, -10.6326, 1.16511e-09
6, 19, -10.6326, 1.16511e-09
6, 20, -10.6326, 1.16511e-09
6, 21, -10.6326, 1.16511e-09
6, 22, -10.6326, 1.16511e-09
6, 23, -10.6326, 1.16511e-09
6, 24, -10.6326, 1.16511e-09
6, 25, -10.6326, 1.16511e-09
6, 26, -10.6326, 1.16511e-09
6, 27, -10.6326, 1.16511e-09
6, 28, -10.6326, 1.16511e-09
6, 29, -10.6326, 1.16511e-09
6, 30, -10.6326, 1.16511e-09
6, 31, -10.6326, 1.16511e-09
6, 32, -10.6326, 1.16511e-09
6, 33, -10.6326, 1.16511e-09
6, 34, -10.6326, 1.16511e-09
6, 35, -10.6326, 1.16511e-09
6, 36, -10.6326, 1.16511e-09
6, 37, -10.6326, 1.16511e-09
6, 38, -10.6326, 1.16511e-09
6, 39, -10.6326, 1.16511e-09
