Scale, Error, Expectation
126001, 1.05454e-08, -3.76123
126501, 1.05037e-08, -3.76795
127001, 1.04623e-08, -3.77466
127501, 1.04213e-08, -3.78134
128001, 1.03806e-08, -3.78802
128501, 1.03402e-08, -3.79467
129001, 1.03001e-08, -3.80131
129501, 1.02603e-08, -3.80794
130001, 1.02209e-08, -3.81455
130501, 1.01817e-08, -3.82114
131001, 1.01429e-08, -3.82772
131501, 1.01043e-08, -3.83428
132001, 1.0066e-08, -3.84083
132501, 1.0028e-08, -3.84737
133001, 9.99034e-09, -3.85388
133501, 9.95292e-09, -3.86039
134001, 9.91578e-09, -3.86687
134501, 9.87892e-09, -3.87335
135001, 9.84233e-09, -3.87981
135501, 9.80602e-09, -3.88625
136001, 9.76997e-09, -3.89268
136501, 9.73418e-09, -3.89909
137001, 9.69865e-09, -3.90549
137501, 9.66338e-09, -3.91188
138001, 9.62837e-09, -3.91825
138501, 9.59361e-09, -3.92461
139001, 9.5591e-09, -3.93095
139501, 9.52484e-09, -3.93728
140001, 9.49083e-09, -3.9436
140501, 9.45705e-09, -3.9499
141001, 9.42352e-09, -3.95618
141501, 9.39022e-09, -3.96246
142001, 9.35715e-09, -3.96872
142501, 9.32432e-09, -3.97496
143001, 9.29172e-09, -3.9812
143501, 9.25934e-09, -3.98742
144001, 9.22719e-09, -3.99362
144501, 9.19526e-09, -3.99982
145001, 9.16356e-09, -4.00599
145501, 9.13207e-09, -4.01216
146001, 9.10079e-09, -4.01832
146501, 9.06973e-09, -4.02446
147001, 9.03888e-09, -4.03058
147501, 9.00824e-09, -4.0367
148001, 8.97781e-09, -4.0428
148501, 8.94758e-09, -4.04889
149001, 8.91756e-09, -4.05497
149501, 8.88773e-09, -4.06103
150001, 8.85811e-09, -4.06708
150501, 8.82868e-09, -4.07312
151001, 8.79945e-09, -4.07914
151501, 8.7704e-09, -4.08515
152001, 8.74155e-09, -4.09116
152501, 8.71289e-09, -4.09715
153001, 8.68442e-09, -4.10312
153501, 8.65613e-09, -4.10909
154001, 8.62803e-09, -4.11504
154501, 8.60011e-09, -4.12098
155001, 8.57236e-09, -4.12691
155501, 8.5448e-09, -4.13282
156001, 8.51741e-09, -4.13873
156501, 8.4902e-09, -4.14462
157001, 8.46316e-09, -4.1505
157501, 8.4363e-09, -4.15637
158001, 8.4096e-09, -4.16223
158501, 8.38307e-09, -4.16807
159001, 8.35671e-09, -4.17391
159501, 8.33051e-09, -4.17973
160001, 8.30448e-09, -4.18554
160501, 8.27861e-09, -4.19134
161001, 8.2529e-09, -4.19713
161501, 8.22735e-09, -4.20291
162001, 8.20196e-09, -4.20868
162501, 8.17672e-09, -4.21443
163001, 8.15164e-09, -4.22018
163501, 8.12671e-09, -4.22591
164001, 8.10193e-09, -4.23163
164501, 8.07731e-09, -4.23734
165001, 8.05283e-09, -4.24304
165501, 8.0285e-09, -4.24873
166001, 8.00432e-09, -4.25441
166501, 7.98028e-09, -4.26008
167001, 7.95639e-09, -4.26574
167501, 7.93264e-09, -4.27139
168001, 7.90903e-09, -4.27702
168501, 7.88556e-09, -4.28265
169001, 7.86223e-09, -4.28826
169501, 7.83904e-09, -4.29387
170001, 7.81598e-09, -4.29946
170501, 7.79306e-09, -4.30504
171001, 7.77028e-09, -4.31062
171501, 7.74762e-09, -4.31618
172001, 7.7251e-09, -4.32173
172501, 7.70271e-09, -4.32728
173001, 7.68045e-09, -4.33281
173501, 7.65831e-09, -4.33833
174001, 7.63631e-09, -4.34384
174501, 7.61443e-09, -4.34934
175001, 7.59267e-09, -4.35484
175501, 7.57104e-09, -4.36032
176001, 7.54953e-09, -4.36579
176501, 7.52814e-09, -4.37125
177001, 7.50688e-09, -4.37671
177501, 7.48573e-09, -4.38215
178001, 7.46471e-09, -4.38758
178501, 7.4438e-09, -4.39301
179001, 7.423e-09, -4.39842
179501, 7.40233e-09, -4.40382
180001, 7.38176e-09, -4.40922
180501, 7.36132e-09, -4.41461
181001, 7.34098e-09, -4.41998
181501, 7.32076e-09, -4.42535
182001, 7.30065e-09, -4.4307
182501, 7.28064e-09, -4.43605
183001, 7.26075e-09, -4.44139
183501, 7.24097e-09, -4.44672
184001, 7.22129e-09, -4.45204
184501, 7.20172e-09, -4.45735
185001, 7.18226e-09, -4.46265
185501, 7.1629e-09, -4.46794
186001, 7.14364e-09, -4.47323
186501, 7.12449e-09, -4.4785
187001, 7.10544e-09, -4.48376
187501, 7.0865e-09, -4.48902
188001, 7.06765e-09, -4.49427
188501, 7.0489e-09, -4.49951
189001, 7.03025e-09, -4.50473
189501, 7.0117e-09, -4.50996
190001, 6.99325e-09, -4.51517
190501, 6.9749e-09, -4.52037
191001, 6.95664e-09, -4.52556
191501, 6.93848e-09, -4.53075
192001, 6.92041e-09, -4.53593
192501, 6.90243e-09, -4.54109
193001, 6.88455e-09, -4.54625
193501, 6.86676e-09, -4.5514
194001, 6.84906e-09, -4.55655
194501, 6.83146e-09, -4.56168
195001, 6.81394e-09, -4.56681
195501, 6.79651e-09, -4.57192
196001, 6.77917e-09, -4.57703
196501, 6.76193e-09, -4.58213
197001, 6.74476e-09, -4.58722
197501, 6.72769e-09, -4.59231
198001, 6.7107e-09, -4.59738
198501, 6.6938e-09, -4.60245
199001, 6.67698e-09, -4.6075
199501, 6.66024e-09, -4.61255
200001, 6.64359e-09, -4.6176
200501, 6.62702e-09, -4.62263
201001, 6.61054e-09, -4.62766
201501, 6.59414e-09, -4.63268
202001, 6.57781e-09, -4.63769
202501, 6.56157e-09, -4.64269
203001, 6.54541e-09, -4.64768
203501, 6.52933e-09, -4.65267
204001, 6.51333e-09, -4.65764
204501, 6.4974e-09, -4.66261
205001, 6.48155e-09, -4.66758
205501, 6.46578e-09, -4.67253
206001, 6.45009e-09, -4.67748
206501, 6.43447e-09, -4.68242
207001, 6.41893e-09, -4.68735
207501, 6.40346e-09, -4.69227
208001, 6.38807e-09, -4.69719
208501, 6.37275e-09, -4.70209
209001, 6.35751e-09, -4.70699
